El Mundo en Cifras
Evolución de los casos de COVID-19
Año;Periodos;España;
2020;feb-22;2;
2020;feb-23;2;
2020;feb-24;2;
2020;feb-25;3;
2020;feb-26;10;
2020;feb-27;16;
2020;feb-28;32;
2020;feb-29;45;
2020;mar-01;84;
2020;mar-02;114;
2020;mar-03;150;
2020;mar-04;198;
2020;mar-05;237;
2020;mar-06;365;
2020;mar-07;430;
2020;mar-08;589;
2020;mar-09;999;
2020;mar-10;1622;
2020;mar-11;2128;
2020;mar-12;2950;
2020;mar-13;4209;
2020;mar-14;5753;
2020;mar-15;7753;
2020;mar-16;9191;
2020;mar-17;11178;
2020;mar-18;13716;
2020;mar-19;17147;
2020;mar-20;19980;
2020;mar-21;24926;
2020;mar-22;28572;
2020;mar-23;33089;
2020;mar-24;39673;
2020;mar-25;47610;
2020;mar-26;56188;
2020;mar-27;64059;
2020;mar-28;72248;
2020;mar-29;78797;
2020;mar-30;85195;
2020;mar-31;94417;
2020;abr-01;102136;
2020;abr-02;110238;
2020;abr-03;117710;
2020;abr-04;124736;
2020;abr-05;130759;
2020;abr-06;135032;
2020;abr-07;140510;
2020;abr-08;146690;
2020;abr-09;152446;
2020;abr-10;157022;
2020;abr-11;161852;
2020;abr-12;166019;
2020;abr-13;169496;
2020;abr-14;172541;
2020;abr-15;177633;
2020;abr-16;182816;
2020;abr-17;188068;
2020;abr-18;191726;
2020;abr-19;195944;
2020;abr-20;200210;
2020;abr-21;204178;
2020;abr-22;208389;
2020;abr-23;213024;
2020;abr-24;202990;
2020;abr-25;205905;
2020;abr-26;207634;
2020;abr-27;209465;
2020;abr-28;210773;
2020;abr-29;212917;
2020;abr-30;213435;
2020;may-01;215216;
2020;may-02;216582;
2020;may-03;217466;
2020;may-04;218011;
2020;may-05;219329;
2020;may-06;220325;
2020;may-07;221447;
2020;may-08;222857;
2020;may-09;223578;
2020;may-10;224390;
2020;may-11;227436;
2020;may-12;228030;
2020;may-13;228691;
2020;may-14;229540;
