El Mundo en Cifras
Evolución del número de fallecidos
Año;Periodos;España;
2020;feb-22;0;
2020;feb-23;0;
2020;feb-24;0;
2020;feb-25;0;
2020;feb-26;0;
2020;feb-27;0;
2020;feb-28;0;
2020;feb-29;0;
2020;mar-01;0;
2020;mar-02;0;
2020;mar-03;0;
2020;mar-04;1;
2020;mar-05;3;
2020;mar-06;5;
2020;mar-07;8;
2020;mar-08;17;
2020;mar-09;16;
2020;mar-10;35;
2020;mar-11;47;
2020;mar-12;84;
2020;mar-13;120;
2020;mar-14;195;
2020;mar-15;289;
2020;mar-16;309;
2020;mar-17;491;
2020;mar-18;598;
2020;mar-19;767;
2020;mar-20;1002;
2020;mar-21;1326;
2020;mar-22;1720;
2020;mar-23;2182;
2020;mar-24;2696;
2020;mar-25;3434;
2020;mar-26;4089;
2020;mar-27;4858;
2020;mar-28;5690;
2020;mar-29;6528;
2020;mar-30;7340;
2020;mar-31;8189;
2020;abr-01;9053;
2020;abr-02;10003;
2020;abr-03;10935;
2020;abr-04;11744;
2020;abr-05;12418;
2020;abr-06;13055;
2020;abr-07;13798;
2020;abr-08;14555;
2020;abr-09;15238;
2020;abr-10;15843;
2020;abr-11;16353;
2020;abr-12;16972;
2020;abr-13;17489;
2020;abr-14;18056;
2020;abr-15;18579;
2020;abr-16;19130;
2020;abr-17;19478;
2020;abr-18;20043;
2020;abr-19;20453;
2020;abr-20;20852;
2020;abr-21;21282;
2020;abr-22;21717;
2020;abr-23;22157;
2020;abr-24;22524;
2020;abr-25;22902;
2020;abr-26;23190;
2020;abr-27;23521;
2020;abr-28;23822;
2020;abr-29;24275;
2020;abr-30;24543;
2020;may-01;24824;
2020;may-02;25100;
2020;may-03;25264;
2020;may-04;25428;
2020;may-05;25613;
2020;may-06;25857;
2020;may-07;26070;
2020;may-08;26299;
2020;may-09;26478;
2020;may-10;26621;
2020;may-11;26744;
2020;may-12;26920;
2020;may-13;27104;
2020;may-14;27321;
2020;may-15;27459;
2020;may-16;27563;
2020;may-17;27650;
2020;may-18;27709;
2020;may-19;27778;
2020;may-20;27888;
2020;may-21;27940;
2020;may-22;28628;
2020;may-23;28678;
2020;may-24;28752;
2020;may-25;26834;
2020;may-26;27117;
2020;may-27;27118;
2020;may-28;27119;
2020;may-29;27121;
2020;may-30;27125;
2020;may-31;27127;
2020;jun-01;27127;
2020;jun-02;27127;
2020;jun-03;27128;
2020;jun-04;27133;
2020;jun-05;27134;
2020;jun-06;27135;
2020;jun-07;27136;
2020;jun-08;27136;
2020;jun-09;27136;
2020;jun-10;27136;
2020;jun-11;27136;
2020;jun-12;27136;
2020;jun-13;27136;
2020;jun-14;27136;
2020;jun-15;27136;
2020;jun-16;27136;
2020;jun-17;27136;
2020;jun-18;27136;
2020;jun-19;28315;
2020;jun-20;28322;
2020;jun-21;28323;
2020;jun-22;28324;
2020;jun-23;28325;
2020;jun-24;28327;
2020;jun-25;28330;
2020;jun-26;28338;
2020;jun-27;28341;
2020;jun-28;28343;
2020;jun-29;28346;
2020;jun-30;28355;
2020;jul-01;28363;
2020;jul-02;28368;
2020;jul-03;28385;
2020;jul-04;;
2020;jul-05;;
2020;jul-06;28388;
2020;jul-07;28392;
2020;jul-08;28396;
2020;jul-09;28401;
2020;jul-10;28403;
2020;jul-11;;
2020;jul-12;;
2020;jul-13;28406;
2020;jul-14;28409;
2020;jul-15;28413;
2020;jul-16;28416;
2020;jul-17;28420;
2020;jul-18;;
2020;jul-19;;
2020;jul-20;28422;
2020;jul-21;28424;
2020;jul-22;28426;
2020;jul-23;28429;
2020;jul-24;28432;
2020;jul-25;;
2020;jul-26;;
2020;jul-27;28434;
2020;jul-28;28436;
2020;jul-29;28441;
2020;jul-30;28443;
2020;jul-31;28445;
2020;ago-01;;
2020;ago-02;;
2020;ago-03;28472;
2020;ago-04;28498;
2020;ago-05;28499;
2020;ago-06;28500;
2020;ago-07;28503;
2020;ago-08;;
2020;ago-09;;
2020;ago-10;28576;
2020;ago-11;28581;
2020;ago-12;28579;
2020;ago-13;28605;
2020;ago-14;28617;
2020;ago-15;;
2020;ago-16;;
2020;ago-17;28646;
2020;ago-18;28670;
2020;ago-19;28797;
2020;ago-20;28813;
2020;ago-21;28838;
2020;ago-22;;
